Beruf;Kürzel
Änderungsschneider/Änderungsschneiderin;XAE
Anlagenmechaniker(in);MAM
Anlagenmechaniker(in) - Apparatetechnik - (aB);MA1
Anlagenmechaniker(in) - Schweißtechnik - (aB);MA3
Anlagenmechaniker(in) - Versorgungstechnik - (aB);MA2
Anlagenmechaniker(in) für Sanitär-,Heizungs- u. Klimatechnik;MAS
Arzthelfer(in) (aB);GAZ
Asphaltbauer(in);BAS
Aufbereitungsmechaniker(in);BAM
Augenoptiker(in);SAO
Ausbaufacharbeiter(in);BAF
Autofachwerker(in);RAF
Automatenfachmann/Automatenfachfrau;WAU
Automobilkaufmann/-kauffrau;WAK
Automobilmechaniker(in) (aB);RAM
Bäcker(in);NBA
Bankkaufmann(frau);WBA
Bau- und Metallmaler(in);FBM
Baugeräteführer(in);BBG
Baustoffprüfer(in);BBP
Bauten- und Objektbeschichter(in);FBA
Bauwerksabdichter(in);BWA
Bauwerksmechaniker(in) für Abbruch- und Betontrenntechnik;BWM
Bauzeichner(in);BBZ
Bearbeiter(in) für Gas- und Wasserinstallation (aB);MBG
Behälter- und Apparatebauer(in);MKU
Bekleidungsschneider(in) (aB);XBS
Berg- und Maschinenmann/Berg- und Maschinenfrau;MBM
Bergbautechnologe/Bergbautechnologin - Tiefbautechnik -;BBE
Bergbautechnologe/Bergbautechnologin - Tiefbohrtechnik -;BBI
Bergmechaniker (aB);MBE
Bergvermessungstechniker(in) (aB);BBV
Berufskraftfahrer(in);RBK
Beschulungs- und Ausbildungsverbund HS (Schulversuch);SVH
Bestattungsfachkraft;SBS
Beton- und Stahlbetonbauer(in);BBS
Betonfertigteilbauer(in);BBF
Betonstein- und Terrazzohersteller(in);BBT
Biologielaborant(in);CBL
Blinde(r) Telefonist(in);WBT
Bodenleger(in);FBO
Bootsbauer(in);HBB
Böttcher(in);HBO
Brenner(in);SBR
Brillenoptikschleifer(in) (aB);SBO
Brunnenbauer(in);BBR
Buchbinder(in);DBB
Buchbinder(in) - Buchfertigung Serie -(aB);DBF
Buchbinder(in) - Druckweiterverarbeitung Serie - (aB);DBW
Buchbinder(in) - Einzel- und Sonderfertigung - (aB);DBE
Buchhändler(in);WBU
Büchsenmacher(in);MBU
Bühnenmaler und -plastiker(in);FBU
Bürofachkraft;WFT
Büroinformationselektroniker(in) (aB);EBI
Bürokaufmann(frau) (aB);WBK
Bürokraft/Bürofachkraft;WBF
Bürsten- und Pinselmacher(in);HBP
Bürsteneinzieher(in);HBE
Chemiebetriebsjungwerker(in) (aB);CCB
Chemielaborant(in);CCL
Chemielaborjungwerker(in);CCJ
Chemikant(in);CCK
Chirurgiemechaniker(in);MCH
Dachdecker(in);BDA
Damenschneider(in) (aB);XDS
Datenverarbeitungskaufmann(frau) (aB);WDK
Dekorvorlagenhersteller(in) (aB);DDE
Destillateur(in);SDE
Drahtwarenmacher(in) (aB);MDM
Drechsler(in)  (Elfenbeinschnitzer);HDR
Dreher(in) - Handwerk (aB);MDH
Drogist(in);WDR
Drucker(in) - Digitaldruck - (aB);DDD
Drucker(in) - Flachdruck - (aB);DDF
Drucker(in) - Hochdruck - (aB);DDH
Drucker(in) - Tiefdruck - (aB);DDT
Drucker(in) (aB);DDR
Eisenbahner(in) im Betriebsdienst;SEB
Elektroanlagenmonteur(in);EAM
Elektroinstallateur(in) (aB);EEI
Elektroinstallationsbearbeiter(in);EBE
Elektromaschinenbauer(in) (aB);EEB
Elektromaschinenmonteur(in) (aB);EEM
Elektromechaniker(in) (aB);EEK
Elektroniker(in) - Automatisierungstechnik -;ELE
Elektroniker(in) - Energie- und Gebäudetechnik -;EEG
Elektroniker(in) - Informations -u. Telekommunikationstech-;EIT
Elektroniker(in) für Automatisierungstechnik;EAU
Elektroniker(in) für Betriebstechnik;EBT
Elektroniker(in) für Gebäude- und Infrastruktursysteme;EGI
Elektroniker(in) für Geräte und Systeme;EGS
Elektroniker(in) für luftfahrttechnische Systeme (aB);ELT
Elektroniker(in) für Maschinen und Antriebstechnik;EMS
Elektroniker/-in für Informations- und Systemtechnik;EIS
Elektronik-Fachkraft;EFK
Estrichleger(in);BES
Fachangestellte(r) für Arbeitsförderung (aB);WFA
Fachangestellte(r) für Arbeitsmarktdienstleistungen;WAD
Fachangestellte(r) für Bäderbetriebe;SBA
Fachangestellte(r) für Bürokommunikation (aB);WFB
Fachangestellte(r) für Markt- und Sozialforschung;WMS
Fachangestellte(r) für Medien- und Informationsdienste;WFM
