Postleitzahl;Landkreisschlüssel
01001;514
01002;514
01003;514
01004;514
01005;514
01006;514
01007;514
01008;514
01009;514
01010;514
01013;514
01014;514
01020;514
01021;514
01022;514
01023;514
01024;514
01043;514
01044;514
01045;514
01046;514
01047;514
01048;514
01049;514
01050;514
01051;514
01052;514
01053;514
01054;514
01055;514
01056;514
01058;514
01059;514
01060;514
01061;514
01062;514
01064;514
01065;514
01067;514
01069;514
01071;514
01072;514
01073;514
01074;514
01075;514
01076;514
01077;514
01078;514
01079;514
01080;514
01081;514
01082;514
01083;514
01084;514
01095;514
01097;514
01099;514
01101;514
01102;514
01109;514
01111;514
01112;514
01125;514
01127;514
01129;514
01131;514
01139;514
01141;514
01142;514
01143;514
01144;514
01147;514
01157;514
01159;514
01161;514
01162;514
01169;514
01171;514
01172;514
01174;514
01187;514
01189;514
01191;514
01192;514
01193;514
01194;514
01213;514
01217;514
01219;514
01221;514
01222;514
01224;514
01237;514
01239;514
01241;514
01242;514
01244;514
01245;514
01246;514
01247;514
01255;514
01257;514
01259;514
01261;514
01262;514
01263;514
01264;514
01265;514
01266;514
01277;514
01279;514
01281;514
01282;514
01283;514
01287;514
01288;514
01291;514
01292;514
01304;514
01305;514
01307;514
01309;514
01311;514
01314;514
01315;514
01317;514
01324;514
04317;514
04318;514
04321;514
04328;514
04329;514
04331;514
04332;514
04333;514
04337;514
04347;514
04349;514
04351;514
04354;514
04356;514
04357;514
04358;514
04370;514
04409;514
04410;514
04411;514
04416;514
04417;514
04420;514
04421;514
04425;514
04426;514
04427;514
04430;514
04431;514
04435;514
04436;514
04439;514
04440;514
04442;514
04443;514
04445;514
04448;514
04449;514
04451;514
04452;514
04454;514
04455;514
04457;514
04460;514
04461;514
04463;514
04464;514
04466;514
04469;514
04501;514
04502;514
04509;514
04518;514
04519;514
04521;514
04523;514
04537;514
04539;514
04541;514
04552;514
04561;514
04564;514
04565;514
04567;514
04570;514
04571;514
04574;514
04575;514
04577;514
04579;514
04581;516
04582;516
04583;516
04584;516
04588;516
04590;516
04600;516
04603;516
04607;516
04609;516
04610;516
04611;516
04613;516
04614;516
04617;516
04618;516
04621;516
04622;516
04626;516
04637;516
04639;516
04641;514
04643;514
04649;514
04651;514
04652;514
04654;514
04655;514
04657;514
04661;514
04662;514
04663;514
04668;514
04678;514
04680;514
04681;514
04683;514
04684;514
04685;514
04687;514
04688;514
04701;514
04703;514
04711;514
04712;514
04713;514
04720;514
04734;514
04736;514
04737;514
04738;514
04741;514
04744;514
04746;514
04749;514
04751;514
04752;514
06130;515
06132;515
